section,metric,config,config_ref,subset,rung,statistic,value,n,ci_lo,ci_hi,p_two_sided,pair_id,note
A_accuracy,tps,RoMa + pyramid v1,,all_187,,n_status_ok,81.0000,187,,,,,
A_accuracy,raw,RoMa + pyramid v2,,all_187,,SR@5,0.0588,187,0.0332,0.1022,,,k=11
A_accuracy,raw,RoMa + pyramid v2,,all_187,,SR@10,0.0909,187,0.0575,0.1408,,,k=17
A_accuracy,raw,RoMa + pyramid v2,,all_187,,SR@20,0.2193,187,0.1659,0.2839,,,k=41
A_accuracy,raw,RoMa + pyramid v2,,all_187,,median_ED_px,69.8900,187,,,,,median over pairs with a finite error
A_accuracy,raw,RoMa + pyramid v2,,all_187,,n_status_ok,187.0000,187,,,,,
A_accuracy,tps,RoMa + pyramid v2,,all_187,,SR@5,0.0481,187,0.0255,0.0889,,,k=9
A_accuracy,tps,RoMa + pyramid v2,,all_187,,SR@10,0.1176,187,0.0790,0.1717,,,k=22
A_accuracy,tps,RoMa + pyramid v2,,all_187,,SR@20,0.2460,187,0.1898,0.3124,,,k=46
A_accuracy,tps,RoMa + pyramid v2,,all_187,,median_ED_px,73.9750,187,,,,,median over pairs with a finite error
A_accuracy,tps,RoMa + pyramid v2,,all_187,,n_status_ok,187.0000,187,,,,,
A_accuracy,raw,MatchAnything-RoMa,,all_187,,SR@5,0.0588,187,0.0332,0.1022,,,k=11
A_accuracy,raw,MatchAnything-RoMa,,all_187,,SR@10,0.1070,187,0.0703,0.1594,,,k=20
A_accuracy,raw,MatchAnything-RoMa,,all_187,,SR@20,0.2406,187,0.1850,0.3067,,,k=45
A_accuracy,raw,MatchAnything-RoMa,,all_187,,median_ED_px,80.9750,187,,,,,median over pairs with a finite error
A_accuracy,raw,MatchAnything-RoMa,,all_187,,n_status_ok,187.0000,187,,,,,
A_accuracy,tps,MatchAnything-RoMa,,all_187,,SR@5,0.0374,187,0.0182,0.0752,,,k=7
A_accuracy,tps,MatchAnything-RoMa,,all_187,,SR@10,0.1283,187,0.0878,0.1839,,,k=24
A_accuracy,tps,MatchAnything-RoMa,,all_187,,SR@20,0.2353,187,0.1802,0.3010,,,k=44
A_accuracy,tps,MatchAnything-RoMa,,all_187,,median_ED_px,83.9590,187,,,,,median over pairs with a finite error
A_accuracy,tps,MatchAnything-RoMa,,all_187,,n_status_ok,187.0000,187,,,,,
A_accuracy,raw,MatchAnything-RoMa + pyramid v2,,all_187,,SR@5,0.0535,187,0.0293,0.0956,,,k=10
A_accuracy,raw,MatchAnything-RoMa + pyramid v2,,all_187,,SR@10,0.1176,187,0.0790,0.1717,,,k=22
A_accuracy,raw,MatchAnything-RoMa + pyramid v2,,all_187,,SR@20,0.2299,187,0.1754,0.2953,,,k=43
A_accuracy,raw,MatchAnything-RoMa + pyramid v2,,all_187,,median_ED_px,77.6370,187,,,,,median over pairs with a finite error
A_accuracy,raw,MatchAnything-RoMa + pyramid v2,,all_187,,n_status_ok,187.0000,187,,,,,
A_accuracy,tps,MatchAnything-RoMa + pyramid v2,,all_187,,SR@5,0.0535,187,0.0293,0.0956,,,k=10
A_accuracy,tps,MatchAnything-RoMa + pyramid v2,,all_187,,SR@10,0.1283,187,0.0878,0.1839,,,k=24
A_accuracy,tps,MatchAnything-RoMa + pyramid v2,,all_187,,SR@20,0.2353,187,0.1802,0.3010,,,k=44
A_accuracy,tps,MatchAnything-RoMa + pyramid v2,,all_187,,median_ED_px,72.6690,187,,,,,median over pairs with a finite error
A_accuracy,tps,MatchAnything-RoMa + pyramid v2,,all_187,,n_status_ok,187.0000,187,,,,,
B_tps_coverage,tps,SIFT (Control A),,all_187,,tps_coverage,0.3743,187,,,,,non_blank=70; fallback_to_raw=117
B_tps_coverage,tps,SIFT + MI (Control B),,all_187,,tps_coverage,0.0000,187,,,,,non_blank=0; fallback_to_raw=187
B_tps_coverage,tps,LoFTR,,all_187,,tps_coverage,0.4973,187,,,,,non_blank=93; fallback_to_raw=94
B_tps_coverage,tps,MatchAnything-ELoFTR,,all_187,,tps_coverage,0.4385,187,,,,,non_blank=82; fallback_to_raw=105
B_tps_coverage,tps,RoMa (zero-shot),,all_187,,tps_coverage,1.0000,187,,,,,non_blank=187; fallback_to_raw=0
B_tps_coverage,tps,RoMa + pyramid v1,,all_187,,tps_coverage,0.3850,187,,,,,non_blank=72; fallback_to_raw=115
B_tps_coverage,tps,RoMa + pyramid v2,,all_187,,tps_coverage,1.0000,187,,,,,non_blank=187; fallback_to_raw=0
B_tps_coverage,tps,MatchAnything-RoMa,,all_187,,tps_coverage,1.0000,187,,,,,non_blank=187; fallback_to_raw=0
B_tps_coverage,tps,MatchAnything-RoMa + pyramid v2,,all_187,,tps_coverage,1.0000,187,,,,,non_blank=187; fallback_to_raw=0
B_tps_coverage,tps,MatchAnything-ELoFTR + pyramid v1,,all_187,,tps_coverage,0.4332,187,,,,,non_blank=81; fallback_to_raw=106
B_tps_coverage,tps,MatchAnything-ELoFTR + pyramid v2,,all_187,,tps_coverage,0.4171,187,,,,,non_blank=78; fallback_to_raw=109
B_tps_coverage,tps,MatchAnything-ELoFTR (stretch),,all_187,,tps_coverage,0.4492,187,,,,,non_blank=84; fallback_to_raw=103
B_tps_coverage,tps,RoMa + pyramid v2 + certainty 0.5,,all_187,,tps_coverage,1.0000,187,,,,,non_blank=187; fallback_to_raw=0
B_tps_coverage,tps,RoMa + pyramid v2 + zoom x3,,all_187,,tps_coverage,1.0000,187,,,,,non_blank=187; fallback_to_raw=0
B_tps_coverage,tps,MatchAnything-RoMa fine-tuned,,all_187,,tps_coverage,1.0000,187,,,,,non_blank=187; fallback_to_raw=0; fine-tuned on 131/187 pairs (results/split.json train); not comparable on the full 187-pair aggregate
B_tps_coverage,tps,MatchAnything-RoMa fine-tuned + pyramid v2,,all_187,,tps_coverage,1.0000,187,,,,,non_blank=187; fallback_to_raw=0; fine-tuned on 131/187 pairs (results/split.json train); not comparable on the full 187-pair aggregate
C_regression,raw_to_tps,LoFTR,,all_187,,raw_success_tps_failure,11.3330,,,,,eval_AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice_1#2,raw_ed=8.387; tps_ed=11.333
C_regression,raw_to_tps,RoMa (zero-shot),,all_187,,raw_success_tps_failure,37.4620,,,,,eval_5842WCu-Spalled_SEM-SE_SEM-BSE_Multiscale_0#0,raw_ed=3.323; tps_ed=37.462
C_regression,raw_to_tps,RoMa (zero-shot),,all_187,,raw_success_tps_failure,11.6950,,,,,eval_AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice_0#2,raw_ed=6.189; tps_ed=11.695
C_regression,raw_to_tps,RoMa (zero-shot),,all_187,,raw_success_tps_failure,34.7760,,,,,eval_CoNi-AM90_SEM-EBSD_SameSlice_0#1,raw_ed=6.645; tps_ed=34.776
C_regression,raw_to_tps,RoMa + pyramid v2,,all_187,,raw_success_tps_failure,14.2760,,,,,eval_TRIP1-Bainitic_LOM_SEM_EBSD_Multiscale_0#3,raw_ed=9.777; tps_ed=14.276
C_regression,raw_to_tps,MatchAnything-RoMa,,all_187,,raw_success_tps_failure,23.8730,,,,,eval_AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice_0#0,raw_ed=9.233; tps_ed=23.873
C_regression,raw_to_tps,MatchAnything-RoMa,,all_187,,raw_success_tps_failure,18.0140,,,,,eval_CoNi-AM90_SEM-EBSD_SameSlice_0#0,raw_ed=3.552; tps_ed=18.014
C_regression,raw_to_tps,MatchAnything-RoMa + pyramid v2,,all_187,,raw_success_tps_failure,14.4080,,,,,eval_AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice_0#0,raw_ed=7.361; tps_ed=14.408
C_regression,raw_to_tps,MatchAnything-RoMa + pyramid v2,,all_187,,raw_success_tps_failure,20.4780,,,,,eval_AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice_1#1,raw_ed=8.318; tps_ed=20.478
C_regression,raw_to_tps,MatchAnything-RoMa + pyramid v2,,all_187,,raw_success_tps_failure,19.2410,,,,,eval_CoNi-AM90_SEM-EBSD_SameSlice_0#0,raw_ed=8.773; tps_ed=19.241
C_regression,raw_to_tps,MatchAnything-RoMa + pyramid v2,,all_187,,raw_success_tps_failure,12.6440,,,,,eval_CoNi-AM90_SEM-EBSD_SameSlice_0#2,raw_ed=2.385; tps_ed=12.644
C_regression,raw_to_tps,RoMa + pyramid v2 + certainty 0.5,,all_187,,raw_success_tps_failure,34.0650,,,,,eval_5842WCu-Spalled_SEM-SE_SEM-BSE_Multiscale_0#0,raw_ed=1.944; tps_ed=34.065
C_regression,raw_to_tps,MatchAnything-RoMa fine-tuned,,all_187,,raw_success_tps_failure,11.7850,,,,,eval_TRIP1-Bainitic_LOM_SEM_EBSD_Multiscale_0#2,raw_ed=9.957; tps_ed=11.785
C_regression,raw_to_tps,ALL,,all_187,,regression_count,13.0000,16,,,,,in_table1=11
C_fov_stratum,raw,roma/direct,,fov_area_0-0.05,,SR@10,0.0000,4,,,,,k=0
C_fov_stratum,raw,roma/pyramid_v2,,fov_area_0-0.05,,SR@10,0.0000,4,,,,,k=0
C_fov_stratum,tps,roma/direct,,fov_area_0-0.05,,SR@10,0.0000,4,,,,,k=0
C_fov_stratum,tps,roma/pyramid_v2,,fov_area_0-0.05,,SR@10,0.0000,4,,,,,k=0
C_fov_stratum,raw,roma/direct,,fov_area_0.05-0.25,,SR@10,0.0303,33,,,,,k=1
C_fov_stratum,raw,roma/pyramid_v2,,fov_area_0.05-0.25,,SR@10,0.0606,33,,,,,k=2
C_fov_stratum,tps,roma/direct,,fov_area_0.05-0.25,,SR@10,0.0000,33,,,,,k=0
C_fov_stratum,tps,roma/pyramid_v2,,fov_area_0.05-0.25,,SR@10,0.0303,33,,,,,k=1
C_fov_stratum,raw,roma/direct,,fov_area_0.25-0.5,,SR@10,0.0417,24,,,,,k=1
C_fov_stratum,raw,roma/pyramid_v2,,fov_area_0.25-0.5,,SR@10,0.0417,24,,,,,k=1
C_fov_stratum,tps,roma/direct,,fov_area_0.25-0.5,,SR@10,0.0417,24,,,,,k=1
C_fov_stratum,tps,roma/pyramid_v2,,fov_area_0.25-0.5,,SR@10,0.0417,24,,,,,k=1
C_fov_stratum,raw,roma/direct,,fov_area_0.5-10,,SR@10,0.1190,126,,,,,k=15
C_fov_stratum,raw,roma/pyramid_v2,,fov_area_0.5-10,,SR@10,0.1111,126,,,,,k=14
C_fov_stratum,tps,roma/direct,,fov_area_0.5-10,,SR@10,0.1349,126,,,,,k=17
C_fov_stratum,tps,roma/pyramid_v2,,fov_area_0.5-10,,SR@10,0.1587,126,,,,,k=20
D_contrast,raw,roma/pyramid_v2,roma/direct,all_187,,delta_SR@5,0.0000,187,0.0000,0.0000,1.0000,,A=0.0588; B=0.0588
D_contrast,raw,roma/pyramid_v2,roma/direct,all_187,,delta_SR@10,0.0000,187,-0.0160,0.0160,1.0000,,A=0.0909; B=0.0909
D_contrast,raw,roma/pyramid_v2,roma/direct,all_187,,delta_SR@20,-0.0053,187,-0.0321,0.0160,0.8294,,A=0.2246; B=0.2193
D_contrast,raw,roma/pyramid_v2,roma/direct,all_187,,delta_median_ED_px,-10.2760,187,-48.1510,23.2410,0.3738,,pairs finite under both configurations
D_contrast,tps,roma/pyramid_v2,roma/direct,all_187,,delta_SR@5,0.0000,187,0.0000,0.0000,1.0000,,A=0.0481; B=0.0481
D_contrast,tps,roma/pyramid_v2,roma/direct,all_187,,delta_SR@10,0.0214,187,0.0053,0.0428,0.0340,,A=0.0963; B=0.1176
D_contrast,tps,roma/pyramid_v2,roma/direct,all_187,,delta_SR@20,0.0160,187,-0.0160,0.0481,0.4440,,A=0.2299; B=0.2460
D_contrast,tps,roma/pyramid_v2,roma/direct,all_187,,delta_median_ED_px,-2.3570,187,-33.1230,14.4250,0.4470,,pairs finite under both configurations
D_contrast,raw,ma_roma/direct,roma/direct,all_187,,delta_SR@5,0.0000,187,-0.0214,0.0214,1.0000,,A=0.0588; B=0.0588
D_contrast,raw,ma_roma/direct,roma/direct,all_187,,delta_SR@10,0.0160,187,-0.0107,0.0428,0.3338,,A=0.0909; B=0.1070
D_contrast,raw,ma_roma/direct,roma/direct,all_187,,delta_SR@20,0.0160,187,-0.0481,0.0802,0.6676,,A=0.2246; B=0.2406
D_contrast,raw,ma_roma/direct,roma/direct,all_187,,delta_median_ED_px,0.8090,187,-70.2840,44.8930,0.8622,,pairs finite under both configurations
D_contrast,tps,ma_roma/direct,roma/direct,all_187,,delta_SR@5,-0.0107,187,-0.0267,0.0000,0.2684,,A=0.0481; B=0.0374
D_contrast,tps,ma_roma/direct,roma/direct,all_187,,delta_SR@10,0.0321,187,0.0053,0.0642,0.0350,,A=0.0963; B=0.1283
D_contrast,tps,ma_roma/direct,roma/direct,all_187,,delta_SR@20,0.0053,187,-0.0588,0.0695,0.9172,,A=0.2299; B=0.2353
D_contrast,tps,ma_roma/direct,roma/direct,all_187,,delta_median_ED_px,7.6270,187,-46.8870,35.5040,0.8614,,pairs finite under both configurations
E_fov_ladder,,roma,,base-matchable,,denominator_pool,38.0000,63,,,,,pairs passing the base-matchable filter
E_fov_ladder,raw,roma/pyramid_v2,roma/direct,base-matchable,0.5,delta_SR@10,-0.0294,34,-0.0882,0.0000,0.7184,,direct=0.3824; pyramid_v2=0.3529
E_fov_ladder,tps,roma/pyramid_v2,roma/direct,base-matchable,0.5,delta_SR@10,0.0000,34,0.0000,0.0000,1.0000,,direct=0.3529; pyramid_v2=0.3529
E_fov_ladder,raw,roma/pyramid_v2,roma/direct,base-matchable,0.25,delta_SR@10,0.0556,36,0.0000,0.1389,0.2466,,direct=0.2778; pyramid_v2=0.3333
E_fov_ladder,tps,roma/pyramid_v2,roma/direct,base-matchable,0.25,delta_SR@10,0.0278,36,0.0000,0.0833,0.7182,,direct=0.1944; pyramid_v2=0.2222
E_fov_ladder,raw,roma/pyramid_v2,roma/direct,base-matchable,0.1,delta_SR@10,0.0278,36,0.0000,0.0833,0.7282,,direct=0.0556; pyramid_v2=0.0833
E_fov_ladder,tps,roma/pyramid_v2,roma/direct,base-matchable,0.1,delta_SR@10,0.0556,36,0.0000,0.1389,0.2604,,direct=0.0000; pyramid_v2=0.0556
