pair_id,group,subclass,backbone,mode,fov_ratio,scale_ratio,n_gt,n_matches,n_inliers,family,runtime_s,mu_ed,med_ed,p1,p3,p5,p10,mu_ed_tps,med_ed_tps,status,error
eval_C103_SEM-SE_LOM-DC-Height_FractureSurfaces_2#0,FractureSurfaces,C103_SEM-SE_LOM-DC-Height_FractureSurfaces,ma_roma_ft,direct,0.8165,0.83614,58,10000,5009,affine,1.21,9.445,8.941,0.000,0.052,0.241,0.621,9.926,8.633,ok,
eval_C103_SEM-SE_LOM-DC-Height_FractureSurfaces_2#1,FractureSurfaces,C103_SEM-SE_LOM-DC-Height_FractureSurfaces,ma_roma_ft,direct,0.8165,0.83614,58,10000,1046,homography,1.17,15.291,14.029,0.000,0.017,0.034,0.259,13.063,12.384,ok,
eval_CoNi-AM67_OM-SEM_Multiscale_0#0,Multiscale,CoNi-AM67_OM-SEM_Multiscale,ma_roma_ft,direct,0.6164,1.09526,14,10000,2899,affine,1.32,13.539,11.524,0.000,0.143,0.214,0.500,14.343,12.545,ok,
eval_CoNi-AM67_OM-SEM_Multiscale_0#1,Multiscale,CoNi-AM67_OM-SEM_Multiscale,ma_roma_ft,direct,0.6164,1.09526,14,10000,1123,affine,1.29,70.007,53.641,0.000,0.000,0.000,0.071,42.199,36.143,ok,
eval_CoNi-AM67_OM-SEM_Multiscale_0#2,Multiscale,CoNi-AM67_OM-SEM_Multiscale,ma_roma_ft,direct,0.1364,0.13591,11,10000,1029,affine,1.30,933.370,966.969,0.000,0.000,0.000,0.000,940.624,942.994,ok,
eval_CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning_0#0,SerialSectioning,CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning,ma_roma_ft,direct,0.6759,2.88000,17,10000,1110,affine,1.12,43.519,24.026,0.000,0.059,0.059,0.059,31.449,17.987,ok,
eval_CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning_0#1,SerialSectioning,CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning,ma_roma_ft,direct,0.6759,2.88000,17,10000,814,affine,1.02,52.696,40.932,0.000,0.000,0.000,0.118,44.716,36.284,ok,
eval_CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning_0#2,SerialSectioning,CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning,ma_roma_ft,direct,0.6759,2.88000,17,10000,1386,affine,1.04,51.085,31.451,0.059,0.059,0.059,0.176,43.347,22.048,ok,
eval_CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning_0#3,SerialSectioning,CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning,ma_roma_ft,direct,0.6759,2.88000,17,10000,1470,affine,1.11,48.446,29.802,0.000,0.059,0.059,0.176,34.472,18.959,ok,
eval_CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning_0#4,SerialSectioning,CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning,ma_roma_ft,direct,0.6759,2.88000,17,10000,1310,affine,1.08,36.875,23.586,0.000,0.000,0.059,0.294,34.771,18.487,ok,
eval_CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning_0#5,SerialSectioning,CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning,ma_roma_ft,direct,0.6759,2.88000,17,10000,909,affine,1.11,46.893,26.066,0.000,0.000,0.059,0.059,26.524,10.785,ok,
eval_CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning_1#0,SerialSectioning,CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning,ma_roma_ft,direct,0.5503,2.88000,14,10000,1294,affine,1.01,21.050,14.196,0.000,0.000,0.071,0.214,14.399,9.891,ok,
eval_CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning_1#1,SerialSectioning,CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning,ma_roma_ft,direct,0.5503,2.88000,14,10000,1012,affine,0.98,23.971,21.394,0.071,0.071,0.071,0.071,17.314,14.220,ok,
eval_CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning_1#2,SerialSectioning,CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning,ma_roma_ft,direct,0.5503,2.88000,14,10000,2018,affine,1.06,33.546,26.564,0.000,0.000,0.000,0.214,27.269,22.933,ok,
eval_CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning_1#3,SerialSectioning,CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning,ma_roma_ft,direct,0.5503,2.88000,14,10000,1689,affine,1.01,27.084,25.294,0.000,0.000,0.000,0.143,19.206,17.800,ok,
eval_CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning_1#4,SerialSectioning,CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning,ma_roma_ft,direct,0.5503,2.88000,14,10000,953,affine,1.07,29.413,25.219,0.000,0.000,0.071,0.357,24.809,18.807,ok,
eval_CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning_1#5,SerialSectioning,CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning,ma_roma_ft,direct,0.5503,2.88000,14,10000,1872,homography,1.01,35.810,24.276,0.000,0.000,0.000,0.143,29.409,20.119,ok,
eval_CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning_2#0,SerialSectioning,CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning,ma_roma_ft,direct,0.5503,2.88000,18,10000,801,affine,1.07,25.332,17.495,0.000,0.000,0.056,0.333,17.750,15.059,ok,
eval_CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning_2#1,SerialSectioning,CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning,ma_roma_ft,direct,0.5503,2.88000,18,10000,966,affine,1.00,30.090,27.188,0.000,0.000,0.056,0.222,17.675,13.078,ok,
eval_CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning_2#2,SerialSectioning,CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning,ma_roma_ft,direct,0.5503,2.88000,18,10000,960,affine,0.98,30.146,16.980,0.000,0.000,0.056,0.222,21.272,13.958,ok,
eval_CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning_2#3,SerialSectioning,CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning,ma_roma_ft,direct,0.5503,2.88000,18,10000,1918,homography,1.06,19.258,13.609,0.000,0.056,0.167,0.389,11.465,7.671,ok,
eval_CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning_2#4,SerialSectioning,CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning,ma_roma_ft,direct,0.5503,2.88000,18,10000,963,homography,1.02,23.988,16.112,0.000,0.000,0.111,0.278,20.757,15.867,ok,
eval_CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning_2#5,SerialSectioning,CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning,ma_roma_ft,direct,0.5503,2.88000,18,10000,1505,homography,1.08,45.638,41.231,0.000,0.000,0.056,0.111,47.571,47.303,ok,
eval_CoNi-AM90_OM-SEM_Multiscale_0#0,Multiscale,CoNi-AM90_OM-SEM_Multiscale,ma_roma_ft,direct,0.4811,6.20943,11,10000,4282,homography,0.97,16.856,16.406,0.000,0.000,0.000,0.273,18.399,17.024,ok,
eval_CoNi-AM90_OM-SEM_Multiscale_0#1,Multiscale,CoNi-AM90_OM-SEM_Multiscale,ma_roma_ft,direct,0.4140,0.84393,8,10000,7849,homography,1.07,20.160,16.096,0.000,0.000,0.125,0.500,20.106,15.224,ok,
eval_CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning_0#0,SlipPartitioning,CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning,ma_roma_ft,direct,0.3692,0.04134,20,10000,7431,homography,3.75,1.934,1.519,0.200,0.850,0.950,1.000,3.338,2.131,ok,
eval_CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning_0#1,SlipPartitioning,CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning,ma_roma_ft,direct,0.3692,0.04134,20,10000,6129,homography,3.77,3.123,3.145,0.100,0.450,0.850,1.000,3.481,2.470,ok,
eval_CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning_0#2,SlipPartitioning,CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning,ma_roma_ft,direct,0.3692,0.04134,20,10000,4334,homography,3.93,2.604,2.733,0.150,0.550,1.000,1.000,2.740,2.766,ok,
eval_CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning_0#3,SlipPartitioning,CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning,ma_roma_ft,direct,0.3692,0.04134,20,10000,6319,affine,3.73,1.865,1.493,0.300,0.900,0.950,1.000,3.536,2.401,ok,
