pair_id,group,subclass,backbone,mode,fov_ratio,scale_ratio,n_gt,n_matches,n_inliers,family,runtime_s,mu_ed,med_ed,p1,p3,p5,p10,mu_ed_tps,med_ed_tps,status,error
eval_CoNi-AM67_OM-SEM_Multiscale_0#0,Multiscale,CoNi-AM67_OM-SEM_Multiscale,sift,direct,0.6164,1.09526,14,44,5,homography,1.28,1531.480,1628.979,0.000,0.000,0.000,0.000,,,ok,
eval_CoNi-AM67_OM-SEM_Multiscale_0#1,Multiscale,CoNi-AM67_OM-SEM_Multiscale,sift,direct,0.6164,1.09526,14,5,4,affine,1.19,13921.408,10240.107,0.000,0.000,0.000,0.000,,,ok,
eval_CoNi-AM67_OM-SEM_Multiscale_0#2,Multiscale,CoNi-AM67_OM-SEM_Multiscale,sift,direct,0.1364,0.13591,11,144,5,homography,0.52,70349.804,1620.913,0.000,0.000,0.000,0.000,,,ok,
eval_CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning_0#0,SerialSectioning,CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning,sift,direct,0.6759,2.88000,17,89,7,homography,0.98,1806.590,805.388,0.000,0.000,0.000,0.000,,,ok,
eval_CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning_0#1,SerialSectioning,CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning,sift,direct,0.6759,2.88000,17,122,8,homography,0.98,2372.101,2210.497,0.000,0.000,0.000,0.000,,,ok,
eval_CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning_0#2,SerialSectioning,CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning,sift,direct,0.6759,2.88000,17,106,5,homography,0.97,15389.942,1846.099,0.000,0.000,0.000,0.000,,,ok,
eval_CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning_0#3,SerialSectioning,CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning,sift,direct,0.6759,2.88000,17,53,5,homography,0.96,2418.196,2112.153,0.000,0.000,0.000,0.000,,,ok,
eval_CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning_0#4,SerialSectioning,CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning,sift,direct,0.6759,2.88000,17,46,5,homography,0.99,1195.115,1299.523,0.000,0.000,0.000,0.000,,,ok,
eval_CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning_0#5,SerialSectioning,CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning,sift,direct,0.6759,2.88000,17,81,5,homography,0.96,1266.091,1251.902,0.000,0.000,0.000,0.000,,,ok,
eval_CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning_1#0,SerialSectioning,CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning,sift,direct,0.5503,2.88000,14,81,6,homography,1.01,1597.655,1376.991,0.000,0.000,0.000,0.000,,,ok,
