pair_id,nmi,n_overlap_px
eval_CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning_0#7,0.001543,135669
eval_CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning_0#8,0.002290,135669
eval_CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning_0#9,0.001611,135669
eval_CoNi-AM90_SEM-EBSD_SameSlice_0#0,0.006611,124453
eval_CoNi-AM90_SEM-EBSD_SameSlice_0#1,0.006594,124453
eval_CoNi-AM90_SEM-EBSD_SameSlice_0#2,0.004907,124453
eval_CoNi-AM90_SEM-EBSD_SameSlice_0#3,0.003292,124453
eval_CoNi-AM90_SEM-EBSD_SameSlice_0#4,0.003319,124453
eval_CoNi-AM90_SEM-EBSD_SameSlice_0#5,0.052892,124453
eval_CoNi_SEM-SE_SEM-BSE_Cracks-SameSliceSerialSectioning_0#0,0.233778,103198
eval_In718-PrecipitationStrengthened_SEM-BSE_EBSD_SameSliceSerialSectioning_0#0,0.144141,99706
eval_In718-PrecipitationStrengthened_SEM-BSE_EBSD_SameSliceSerialSectioning_1#0,0.158884,102631
eval_In718-PrecipitationStrengthened_SEM-BSE_EBSD_SameSliceSerialSectioning_2#0,0.157284,99546
eval_In718-PrecipitationStrengthened_SEM-BSE_EBSD_SameSliceSerialSectioning_3#0,0.185085,99933
eval_In718-PrecipitationStrengthened_SEM-DIC_EBSD_SlipPartitioning_0#0,0.093260,141312
eval_In718-PrecipitationStrengthened_SEM-DIC_EBSD_SlipPartitioning_0#1,0.175397,141312
eval_In718-PrecipitationStrengthened_SEM-DIC_EBSD_SlipPartitioning_0#2,0.051154,141312
eval_In718-PrecipitationStrengthened_SEM-DIC_EBSD_SlipPartitioning_0#3,0.049873,141312
eval_In718-SolutionStrengthened_SEM-SE_EBSD_SameSliceSerialSectioning_0#0,0.495404,98233
eval_In718-SolutionStrengthened_SEM-SE_EBSD_SameSliceSerialSectioning_0#1,0.252262,108979
eval_In718-SolutionStrengthened_SEM-SE_EBSD_SameSliceSerialSectioning_0#2,0.159596,108979
eval_In718-SolutionStrengthened_SEM-SE_EBSD_SameSliceSerialSectioning_0#3,0.131989,108979
eval_In718-SolutionStrengthened_SEM-SE_EBSD_SameSliceSerialSectioning_1#0,0.198263,143850
eval_In718-SolutionStrengthened_SEM-SE_EBSD_SameSliceSerialSectioning_1#1,0.138372,143850
eval_In718-SolutionStrengthened_SEM-SE_EBSD_SameSliceSerialSectioning_2#0,0.169023,138861
eval_In718-SolutionStrengthened_SEM-SE_EBSD_SameSliceSerialSectioning_2#1,0.116251,138861
eval_In718-SolutionStrengthened_SEM-SE_EBSD_SameSliceSerialSectioning_3#0,0.171890,143636
eval_In718-SolutionStrengthened_SEM-SE_EBSD_SameSliceSerialSectioning_3#1,0.124460,143636
eval_MoTaTiZrHf-HEA-DDRX-1100C_TEM_DislocationCharacterization_0#0,0.095488,135960
eval_MoTaTiZrHf-HEA-DDRX-1100C_TEM_DislocationCharacterization_0#1,0.173722,135960
eval_MoTaTiZrHf-HEA-DDRX-1100C_TEM_DislocationCharacterization_0#10,0.093719,135960
eval_MoTaTiZrHf-HEA-DDRX-1100C_TEM_DislocationCharacterization_0#11,0.143443,135960
eval_MoTaTiZrHf-HEA-DDRX-1100C_TEM_DislocationCharacterization_0#12,0.257852,141292
eval_MoTaTiZrHf-HEA-DDRX-1100C_TEM_DislocationCharacterization_0#13,0.196268,141292
eval_MoTaTiZrHf-HEA-DDRX-1100C_TEM_DislocationCharacterization_0#14,0.150703,141292
eval_MoTaTiZrHf-HEA-DDRX-1100C_TEM_DislocationCharacterization_0#15,0.215142,141292
eval_MoTaTiZrHf-HEA-DDRX-1100C_TEM_DislocationCharacterization_0#16,0.046548,135960
eval_MoTaTiZrHf-HEA-DDRX-1100C_TEM_DislocationCharacterization_0#17,0.059166,135960
eval_MoTaTiZrHf-HEA-DDRX-1100C_TEM_DislocationCharacterization_0#18,0.048412,135960
eval_MoTaTiZrHf-HEA-DDRX-1100C_TEM_DislocationCharacterization_0#19,0.066517,135960
eval_MoTaTiZrHf-HEA-DDRX-1100C_TEM_DislocationCharacterization_0#2,0.098254,135960
eval_MoTaTiZrHf-HEA-DDRX-1100C_TEM_DislocationCharacterization_0#20,0.076869,141292
eval_MoTaTiZrHf-HEA-DDRX-1100C_TEM_DislocationCharacterization_0#21,0.072458,141292
eval_MoTaTiZrHf-HEA-DDRX-1100C_TEM_DislocationCharacterization_0#22,0.061499,141292
eval_MoTaTiZrHf-HEA-DDRX-1100C_TEM_DislocationCharacterization_0#23,0.077066,141292
eval_MoTaTiZrHf-HEA-DDRX-1100C_TEM_DislocationCharacterization_0#24,0.088395,135960
eval_MoTaTiZrHf-HEA-DDRX-1100C_TEM_DislocationCharacterization_0#25,0.157699,135960
eval_MoTaTiZrHf-HEA-DDRX-1100C_TEM_DislocationCharacterization_0#26,0.099693,135960
eval_MoTaTiZrHf-HEA-DDRX-1100C_TEM_DislocationCharacterization_0#27,0.142152,135960
eval_MoTaTiZrHf-HEA-DDRX-1100C_TEM_DislocationCharacterization_0#28,0.247872,141292
eval_MoTaTiZrHf-HEA-DDRX-1100C_TEM_DislocationCharacterization_0#29,0.189605,141292
eval_MoTaTiZrHf-HEA-DDRX-1100C_TEM_DislocationCharacterization_0#3,0.145294,135960
eval_MoTaTiZrHf-HEA-DDRX-1100C_TEM_DislocationCharacterization_0#30,0.144405,141292
eval_MoTaTiZrHf-HEA-DDRX-1100C_TEM_DislocationCharacterization_0#31,0.207380,141292
eval_MoTaTiZrHf-HEA-DDRX-1100C_TEM_DislocationCharacterization_0#4,0.342002,141292
eval_MoTaTiZrHf-HEA-DDRX-1100C_TEM_DislocationCharacterization_0#5,0.209122,141292
eval_MoTaTiZrHf-HEA-DDRX-1100C_TEM_DislocationCharacterization_0#6,0.151842,141292
eval_MoTaTiZrHf-HEA-DDRX-1100C_TEM_DislocationCharacterization_0#7,0.226691,141292
eval_MoTaTiZrHf-HEA-DDRX-1100C_TEM_DislocationCharacterization_0#8,0.087308,135960
eval_MoTaTiZrHf-HEA-DDRX-1100C_TEM_DislocationCharacterization_0#9,0.167382,135960
eval_MoTaTiZrHf-HEA-DDRX-900C_TEM_DislocationCharacterization_0#0,0.066119,132627
eval_MoTaTiZrHf-HEA-DDRX-900C_TEM_DislocationCharacterization_0#1,0.038053,132627
eval_MoTaTiZrHf-HEA-DDRX-900C_TEM_DislocationCharacterization_0#10,0.024011,132627
eval_MoTaTiZrHf-HEA-DDRX-900C_TEM_DislocationCharacterization_0#11,0.008676,132627
eval_MoTaTiZrHf-HEA-DDRX-900C_TEM_DislocationCharacterization_0#12,0.048596,132627
eval_MoTaTiZrHf-HEA-DDRX-900C_TEM_DislocationCharacterization_0#13,0.032072,132627
eval_MoTaTiZrHf-HEA-DDRX-900C_TEM_DislocationCharacterization_0#14,0.031239,132627
eval_MoTaTiZrHf-HEA-DDRX-900C_TEM_DislocationCharacterization_0#15,0.009569,132627
eval_MoTaTiZrHf-HEA-DDRX-900C_TEM_DislocationCharacterization_0#2,0.039936,132627
eval_MoTaTiZrHf-HEA-DDRX-900C_TEM_DislocationCharacterization_0#3,0.010556,132627
eval_MoTaTiZrHf-HEA-DDRX-900C_TEM_DislocationCharacterization_0#4,0.032584,132627
eval_MoTaTiZrHf-HEA-DDRX-900C_TEM_DislocationCharacterization_0#5,0.031165,132627
eval_MoTaTiZrHf-HEA-DDRX-900C_TEM_DislocationCharacterization_0#6,0.016692,132627
eval_MoTaTiZrHf-HEA-DDRX-900C_TEM_DislocationCharacterization_0#7,0.007904,132627
eval_MoTaTiZrHf-HEA-DDRX-900C_TEM_DislocationCharacterization_0#8,0.032749,132627
eval_MoTaTiZrHf-HEA-DDRX-900C_TEM_DislocationCharacterization_0#9,0.018448,132627
eval_MoTaTiZrHf-HEA-DDRX-900C_TEM_largeFOV-DislocationCharacterization_0#0,0.063115,141883
eval_MoTaTiZrHf-HEA-DDRX-900C_TEM_largeFOV-DislocationCharacterization_0#1,0.030724,141883
eval_MoTaTiZrHf-HEA-DDRX-900C_TEM_largeFOV-DislocationCharacterization_0#10,0.028664,138188
eval_MoTaTiZrHf-HEA-DDRX-900C_TEM_largeFOV-DislocationCharacterization_0#11,0.033352,138188
eval_MoTaTiZrHf-HEA-DDRX-900C_TEM_largeFOV-DislocationCharacterization_0#12,0.072506,141883
eval_MoTaTiZrHf-HEA-DDRX-900C_TEM_largeFOV-DislocationCharacterization_0#13,0.046822,141883
eval_MoTaTiZrHf-HEA-DDRX-900C_TEM_largeFOV-DislocationCharacterization_0#14,0.055501,141883
eval_MoTaTiZrHf-HEA-DDRX-900C_TEM_largeFOV-DislocationCharacterization_0#15,0.046461,138188
eval_MoTaTiZrHf-HEA-DDRX-900C_TEM_largeFOV-DislocationCharacterization_0#16,0.030284,138188
eval_MoTaTiZrHf-HEA-DDRX-900C_TEM_largeFOV-DislocationCharacterization_0#17,0.043539,138188
eval_MoTaTiZrHf-HEA-DDRX-900C_TEM_largeFOV-DislocationCharacterization_0#2,0.051553,141883
eval_MoTaTiZrHf-HEA-DDRX-900C_TEM_largeFOV-DislocationCharacterization_0#3,0.067280,138188
eval_MoTaTiZrHf-HEA-DDRX-900C_TEM_largeFOV-DislocationCharacterization_0#4,0.036357,138188
eval_MoTaTiZrHf-HEA-DDRX-900C_TEM_largeFOV-DislocationCharacterization_0#5,0.071332,138188
eval_MoTaTiZrHf-HEA-DDRX-900C_TEM_largeFOV-DislocationCharacterization_0#6,0.026424,141883
eval_MoTaTiZrHf-HEA-DDRX-900C_TEM_largeFOV-DislocationCharacterization_0#7,0.024729,141883
eval_MoTaTiZrHf-HEA-DDRX-900C_TEM_largeFOV-DislocationCharacterization_0#8,0.021586,141883
eval_MoTaTiZrHf-HEA-DDRX-900C_TEM_largeFOV-DislocationCharacterization_0#9,0.029066,138188
eval_TRIP1-Bainitic_LOM_SEM_EBSD_Multiscale_0#0,0.042517,129126
eval_TRIP1-Bainitic_LOM_SEM_EBSD_Multiscale_0#1,0.037926,145133
eval_TRIP1-Bainitic_LOM_SEM_EBSD_Multiscale_0#2,0.015728,141130
eval_TRIP1-Bainitic_LOM_SEM_EBSD_Multiscale_0#3,0.014765,81317
eval_TRIP1-Bainitic_LOM_SEM_EBSD_Multiscale_0#4,0.010872,81365
